query,dataset,run_number,vanilla_time_sec
query34.sql,tpcds,3,14.60
query35.sql,tpcds,3,17.39
query36.sql,tpcds,3,14.57
query37.sql,tpcds,3,15.94
query38.sql,tpcds,3,21.38
query39.sql,tpcds,3,fail
query4.sql,tpcds,3,38.81
query40.sql,tpcds,3,19.97
query41.sql,tpcds,3,10.36
query42.sql,tpcds,3,13.44
query43.sql,tpcds,3,12.77
query44.sql,tpcds,3,15.32
query45.sql,tpcds,3,14.55
query46.sql,tpcds,3,15.05
query47.sql,tpcds,3,18.69
query48.sql,tpcds,3,14.26
query49.sql,tpcds,3,20.84
query5.sql,tpcds,3,20.00
query50.sql,tpcds,3,22.22
query51.sql,tpcds,3,23.05
query52.sql,tpcds,3,13.38
query53.sql,tpcds,3,14.58
query54.sql,tpcds,3,17.80
query55.sql,tpcds,3,13.67
query56.sql,tpcds,3,16.08
query57.sql,tpcds,3,15.08
query58.sql,tpcds,3,16.73
query59.sql,tpcds,3,15.90
query6.sql,tpcds,3,21.74
query60.sql,tpcds,3,17.33
query61.sql,tpcds,3,10.94
query62.sql,tpcds,3,14.30
query63.sql,tpcds,3,14.34
query64.sql,tpcds,3,36.01
query65.sql,tpcds,3,17.83
query66.sql,tpcds,3,16.12
query67.sql,tpcds,3,fail
query68.sql,tpcds,3,15.04
query69.sql,tpcds,3,12.07
query7.sql,tpcds,3,15.87
query70.sql,tpcds,3,15.75
query71.sql,tpcds,3,15.60
query72.sql,tpcds,3,36.15
query73.sql,tpcds,3,14.56
query74.sql,tpcds,3,26.84
query75.sql,tpcds,3,25.53
query76.sql,tpcds,3,15.45
query77.sql,tpcds,3,16.87
query78.sql,tpcds,3,36.40
query79.sql,tpcds,3,14.92
query8.sql,tpcds,3,14.24
query80.sql,tpcds,3,36.56
query81.sql,tpcds,3,15.31
query82.sql,tpcds,3,16.49
query83.sql,tpcds,3,14.93
query84.sql,tpcds,3,14.11
query85.sql,tpcds,3,18.02
query86.sql,tpcds,3,14.06
query87.sql,tpcds,3,21.12
query88.sql,tpcds,3,16.95
query89.sql,tpcds,3,15.21
query9.sql,tpcds,3,15.06
query90.sql,tpcds,3,12.65
query91.sql,tpcds,3,12.86
query92.sql,tpcds,3,14.42
query93.sql,tpcds,3,25.79
query94.sql,tpcds,3,19.58
query95.sql,tpcds,3,26.22
query96.sql,tpcds,3,11.80
query97.sql,tpcds,3,20.13
query98.sql,tpcds,3,14.79
query99.sql,tpcds,3,13.65
1.sql,tpch,4,30.89
10.sql,tpch,4,23.65
11.sql,tpch,4,12.71
