query,dataset,avg_vanilla_time,avg_listener_register_time,avg_listener_bare_time,avg_listener_nowrite_time,avg_listener_full_time,overhead_register,overhead_bare,overhead_nowrite,overhead_write,total_overhead,clipped,overhead_register_pct,overhead_bare_pct,overhead_nowrite_pct,overhead_write_pct,listener_overhead_pct
6.sql,tpch,11.643333333333333,12.785555555555554,12.67111111111111,12.926666666666668,12.976666666666667,1.1422222222222214,0.0,0.2555555555555582,0.049999999999998934,1.333333333333334,False,85.66666666666657,0.0,19.166666666666856,3.7499999999999187,11.451474377326086
7.sql,tpch,30.491111111111106,29.173333333333332,30.793333333333333,30.53111111111111,30.77777777777778,0.0,1.620000000000001,0.0,0.2466666666666697,0.2866666666666724,False,0.0,565.1162790697565,0.0,86.04651162790631,0.9401647110269121
8.sql,tpch,25.154444444444444,27.233333333333334,26.290000000000003,26.33,26.362222222222222,2.0788888888888906,0.0,0.039999999999995595,0.032222222222223706,1.2077777777777783,False,172.12511499540025,0.0,3.3118675252986223,2.667893284268751,4.8014488272450215
9.sql,tpch,33.26111111111111,33.40111111111111,34.416666666666664,33.696666666666665,34.12555555555556,0.14000000000000057,1.0155555555555509,0.0,0.428888888888892,0.8644444444444446,False,16.195372750642736,117.48071979434391,0.0,49.61439588688981,2.598964422916319
query1.sql,tpcds,15.96888888888889,17.046666666666667,17.167777777777776,17.23111111111111,17.33888888888889,1.0777777777777775,0.12111111111110873,0.06333333333333613,0.10777777777777686,1.3699999999999992,False,78.66991078669913,8.840227088402102,4.6228710462289175,7.866991078669848,8.579181742276644
query10.sql,tpcds,17.21777777777778,18.25,18.77,18.552222222222223,18.61777777777778,1.0322222222222202,0.5199999999999996,0.0,0.06555555555555515,1.3999999999999986,False,73.73015873015866,37.14285714285715,0.0,4.682539682539658,8.131130614352083
query11.sql,tpcds,29.293333333333333,30.87111111111111,31.043333333333333,30.323333333333338,30.833333333333332,1.5777777777777757,0.17222222222222427,0.0,0.5099999999999945,1.5399999999999991,False,102.45310245310237,11.183261183261322,0.0,33.116883116882775,5.257168866636319
query12.sql,tpcds,14.216666666666667,15.237777777777776,15.245555555555557,15.219999999999999,15.484444444444446,1.021111111111109,0.00777777777778077,0.0,0.2644444444444467,1.2677777777777788,False,80.5433829973705,0.6134969325155729,0.0,20.858895705521636,8.917545916373589
query13.sql,tpcds,14.394444444444446,15.505555555555556,15.525555555555554,15.401111111111113,16.005555555555556,1.1111111111111107,0.019999999999997797,0.0,0.604444444444443,1.6111111111111107,False,68.9655172413793,1.2413793103446913,0.0,37.51724137931026,11.19258973369355
query14.sql,tpcds,,9.492222222222223,9.425555555555555,9.3,9.353333333333332,,0.0,0.0,0.05333333333333101,,False,,,,,
