query,dataset,register_mean,bare_mean,full_mean,vanilla_mean,nowrite_mean
query124.sql,tpcds,1609.0,1508.888888888889,1508.111111111111,1570.6666666666667,1487.3333333333333
38.sql,tpch,3419.5555555555557,3486.5555555555557,3358.222222222222,9278.333333333334,3662.4444444444443
18.sql,tpch,27194.88888888889,26006.444444444445,26814.11111111111,27358.555555555555,26193.555555555555
9.sql,tpch,92305.11111111111,50711.88888888889,90385.22222222222,71212.33333333333,62024.11111111111
33.sql,tpch,12057.444444444445,8354.555555555555,14117.555555555555,10472.0,8266.333333333334
20.sql,tpch,9022.111111111111,8517.333333333334,8227.222222222223,8609.777777777777,8305.555555555555
10.sql,tpch,10404.111111111111,9559.111111111111,9569.555555555555,9867.222222222223,9667.0
8.sql,tpch,46532.444444444445,31771.333333333332,52709.444444444445,28998.777777777777,29906.11111111111
query49.sql,tpcds,8255.222222222223,8669.0,7974.0,10099.333333333334,8463.666666666666
query108.sql,tpcds,1534.6666666666667,1412.0,1314.888888888889,1528.7777777777778,1359.3333333333333
query125.sql,tpcds,1696.888888888889,1790.888888888889,1855.0,1675.3333333333333,1580.3333333333333
query18.sql,tpcds,3436.4444444444443,3490.3333333333335,3676.777777777778,3618.0,3655.4444444444443
query21.sql,tpcds,1887.5555555555557,1779.5555555555557,1720.0,1809.3333333333333,1805.111111111111
query129.sql,tpcds,1575.3333333333333,1566.5555555555557,1638.2222222222222,1754.3333333333333,1550.3333333333333
query29.sql,tpcds,16004.0,15544.333333333334,18669.0,14511.444444444445,16883.666666666668
query10.sql,tpcds,4637.222222222223,4706.555555555556,4939.888888888889,4932.777777777777,4824.0
query9.sql,tpcds,6115.222222222223,5745.111111111111,5949.555555555556,5754.222222222223,5849.888888888889
query42.sql,tpcds,975.7777777777778,937.8888888888889,935.2222222222222,974.7777777777778,943.2222222222222
query70.sql,tpcds,2783.6666666666665,2762.777777777778,2791.5555555555557,2820.4444444444443,2804.4444444444443
query69.sql,tpcds,3635.4444444444443,3458.777777777778,3594.4444444444443,3595.6666666666665,3564.222222222222
query113.sql,tpcds,2030.6666666666667,1985.7777777777778,1902.4444444444443,2063.8888888888887,2028.4444444444443
query38.sql,tpcds,10536.0,9220.333333333334,10228.333333333334,10174.666666666666,9823.555555555555
query77.sql,tpcds,27076.444444444445,26982.666666666668,27688.333333333332,27286.777777777777,27377.333333333332
query81.sql,tpcds,3828.4444444444443,3869.777777777778,4720.777777777777,4336.111111111111,3946.6666666666665
query51.sql,tpcds,16050.444444444445,12158.0,12734.111111111111,12253.666666666666,11913.111111111111
query3.sql,tpcds,1084.0,1022.7777777777778,973.4444444444445,1063.6666666666667,1067.5555555555557
query53.sql,tpcds,1608.7777777777778,1658.3333333333333,1799.888888888889,1923.3333333333333,1658.6666666666667
11.sql,tpch,2757.8888888888887,2455.4444444444443,2357.222222222222,3079.8888888888887,2423.4444444444443
2.sql,tpch,7040.555555555556,6797.333333333333,6596.888888888889,6861.111111111111,6759.666666666667
query112.sql,tpcds,1852.5555555555557,1861.111111111111,1742.888888888889,2437.8888888888887,1905.3333333333333
query36.sql,tpcds,2088.6666666666665,2283.4444444444443,2093.1111111111113,2971.6666666666665,2455.6666666666665
query101.sql,tpcds,979.8888888888889,888.5555555555555,994.3333333333334,1021.1111111111111,1077.5555555555557
query16.sql,tpcds,6913.111111111111,6911.666666666667,6946.222222222223,8267.111111111111,6813.888888888889
query32.sql,tpcds,1514.0,1514.5555555555557,1580.888888888889,1535.4444444444443,1581.888888888889
query123.sql,tpcds,2076.0,2126.222222222222,2027.3333333333333,2160.1111111111113,2161.3333333333335
query86.sql,tpcds,1671.5555555555557,1570.4444444444443,1565.4444444444443,1651.0,1549.7777777777778
query91.sql,tpcds,1639.888888888889,1550.0,1685.3333333333333,1563.6666666666667,1529.5555555555557
query102.sql,tpcds,917.6666666666666,868.4444444444445,1024.111111111111,978.8888888888889,989.1111111111111
12.sql,tpch,7032.111111111111,6496.555555555556,4967.222222222223,7003.222222222223,5447.222222222223
29.sql,tpch,10945.555555555555,8606.222222222223,8575.222222222223,8980.333333333334,8534.333333333334
14.sql,tpch,3174.3333333333335,2771.4444444444443,2789.1111111111113,3094.777777777778,2771.3333333333335
35.sql,tpch,2334.3333333333335,2112.222222222222,2199.1111111111113,2196.8888888888887,2268.8888888888887
26.sql,tpch,8475.222222222223,8438.666666666666,8151.222222222223,8316.666666666666,8371.222222222223
query122.sql,tpcds,1794.0,1819.6666666666667,1872.888888888889,1968.0,1899.3333333333333
query73.sql,tpcds,2327.4444444444443,1991.4444444444443,2271.222222222222,2210.1111111111113,2139.0
query59.sql,tpcds,3947.3333333333335,3850.777777777778,3986.0,3959.0,3864.3333333333335
query13.sql,tpcds,2610.0,2674.5555555555557,2870.3333333333335,3050.0,2599.222222222222
query55.sql,tpcds,1181.2222222222222,1067.7777777777778,1253.3333333333333,1479.7777777777778,1226.7777777777778
query56.sql,tpcds,3899.1111111111113,3553.222222222222,4206.222222222223,3934.222222222222,3904.1111111111113
query45.sql,tpcds,1969.4444444444443,2017.4444444444443,2018.111111111111,2044.5555555555557,2051.222222222222
query15.sql,tpcds,2705.6666666666665,2667.8888888888887,2662.3333333333335,2870.4444444444443,2746.1111111111113
query40.sql,tpcds,5281.444444444444,5230.666666666667,5452.222222222223,8384.777777777777,5205.333333333333
query1.sql,tpcds,3611.6666666666665,3602.5555555555557,3413.4444444444443,3625.5555555555557,3516.3333333333335
30.sql,tpch,9766.333333333334,9558.0,9652.222222222223,9573.111111111111,9372.666666666666
17.sql,tpch,32319.666666666668,28586.555555555555,31100.222222222223,29097.666666666668,29419.333333333332
27.sql,tpch,8566.0,8014.888888888889,8029.666666666667,7929.666666666667,8160.333333333333
query64.sql,tpcds,94914.77777777778,95256.77777777778,103744.44444444444,86149.11111111111,96944.88888888889
