query,dataset,run_number,listener_nowrite_time
13.sql,tpch,4,18.59
14.sql,tpch,4,14.40
15.sql,tpch,4,17.48
16.sql,tpch,4,18.09
17.sql,tpch,4,35.29
18.sql,tpch,4,34.70
19.sql,tpch,4,15.66
2.sql,tpch,4,16.00
20.sql,tpch,4,16.97
21.sql,tpch,4,32.02
22.sql,tpch,4,16.07
3.sql,tpch,4,20.33
4.sql,tpch,4,24.67
5.sql,tpch,4,23.94
6.sql,tpch,4,11.84
7.sql,tpch,4,33.70
8.sql,tpch,4,23.20
9.sql,tpch,4,31.98
query1.sql,tpcds,4,15.58
query10.sql,tpcds,4,15.60
query11.sql,tpcds,4,29.01
query12.sql,tpcds,4,13.89
query13.sql,tpcds,4,14.13
query14.sql,tpcds,4,8.08
query15.sql,tpcds,4,14.86
query16.sql,tpcds,4,15.48
query17.sql,tpcds,4,30.49
query18.sql,tpcds,4,15.63
query19.sql,tpcds,4,14.89
query2.sql,tpcds,4,14.30
query20.sql,tpcds,4,13.48
query21.sql,tpcds,4,13.43
query22.sql,tpcds,4,14.86
query23.sql,tpcds,4,8.36
query24.sql,tpcds,4,8.40
query25.sql,tpcds,4,29.73
query26.sql,tpcds,4,14.09
query27.sql,tpcds,4,14.91
query28.sql,tpcds,4,20.06
query29.sql,tpcds,4,29.78
query3.sql,tpcds,4,12.46
query30.sql,tpcds,4,8.46
query31.sql,tpcds,4,19.40
query32.sql,tpcds,4,13.98
query33.sql,tpcds,4,16.21
query34.sql,tpcds,4,13.82
query35.sql,tpcds,4,17.79
query36.sql,tpcds,4,14.70
query37.sql,tpcds,4,14.89
query38.sql,tpcds,4,20.04
query39.sql,tpcds,4,8.17
query4.sql,tpcds,4,37.13
query40.sql,tpcds,4,19.88
query41.sql,tpcds,4,10.36
query42.sql,tpcds,4,12.85
query43.sql,tpcds,4,13.66
query44.sql,tpcds,4,15.40
query45.sql,tpcds,4,13.85
query46.sql,tpcds,4,15.32
query47.sql,tpcds,4,18.82
query48.sql,tpcds,4,15.37
query49.sql,tpcds,4,20.56
query5.sql,tpcds,4,19.68
query50.sql,tpcds,4,22.50
query51.sql,tpcds,4,23.04
query52.sql,tpcds,4,13.28
query53.sql,tpcds,4,13.68
query54.sql,tpcds,4,17.94
query55.sql,tpcds,4,14.43
query56.sql,tpcds,4,15.63
query57.sql,tpcds,4,14.54
query58.sql,tpcds,4,16.67
query59.sql,tpcds,4,15.36
query6.sql,tpcds,4,19.22
query60.sql,tpcds,4,17.86
query61.sql,tpcds,4,10.54
query62.sql,tpcds,4,14.02
query63.sql,tpcds,4,13.49
query64.sql,tpcds,4,36.68
query65.sql,tpcds,4,18.02
query66.sql,tpcds,4,16.40
query67.sql,tpcds,4,8.32
query68.sql,tpcds,4,14.90
query69.sql,tpcds,4,11.61
query7.sql,tpcds,4,15.16
query70.sql,tpcds,4,15.53
query71.sql,tpcds,4,14.74
query72.sql,tpcds,4,35.76
query73.sql,tpcds,4,14.09
query74.sql,tpcds,4,27.27
query75.sql,tpcds,4,26.19
query76.sql,tpcds,4,15.04
query77.sql,tpcds,4,18.30
query78.sql,tpcds,4,36.83
query79.sql,tpcds,4,14.05
query8.sql,tpcds,4,14.42
query80.sql,tpcds,4,35.81
query81.sql,tpcds,4,14.97
query82.sql,tpcds,4,16.81
query83.sql,tpcds,4,15.40
query84.sql,tpcds,4,14.15
query85.sql,tpcds,4,17.91
query86.sql,tpcds,4,13.75
query87.sql,tpcds,4,19.85
query88.sql,tpcds,4,16.95
query89.sql,tpcds,4,14.51
query9.sql,tpcds,4,14.65
query90.sql,tpcds,4,12.94
query91.sql,tpcds,4,13.08
query92.sql,tpcds,4,14.75
query93.sql,tpcds,4,27.24
query94.sql,tpcds,4,19.73
query95.sql,tpcds,4,26.46
query96.sql,tpcds,4,11.57
query97.sql,tpcds,4,19.89
query98.sql,tpcds,4,14.45
query99.sql,tpcds,4,13.79
1.sql,tpch,5,31.81
10.sql,tpch,5,21.08
11.sql,tpch,5,12.18
12.sql,tpch,5,18.41
13.sql,tpch,5,19.64
14.sql,tpch,5,14.39
15.sql,tpch,5,17.95
16.sql,tpch,5,17.59
17.sql,tpch,5,33.19
18.sql,tpch,5,33.23
19.sql,tpch,5,15.78
2.sql,tpch,5,15.13
20.sql,tpch,5,17.25
21.sql,tpch,5,33.64
