query,dataset,run_number,vanilla_time_sec
query42.sql,tpcds,3,12.60
query43.sql,tpcds,3,12.55
query44.sql,tpcds,3,15.30
query45.sql,tpcds,3,13.94
query46.sql,tpcds,3,14.89
query47.sql,tpcds,3,19.07
query48.sql,tpcds,3,14.93
query49.sql,tpcds,3,20.40
query5.sql,tpcds,3,19.49
query50.sql,tpcds,3,21.95
query51.sql,tpcds,3,24.00
query52.sql,tpcds,3,13.10
query53.sql,tpcds,3,13.95
query54.sql,tpcds,3,18.18
query55.sql,tpcds,3,13.55
query56.sql,tpcds,3,15.46
query57.sql,tpcds,3,15.26
query58.sql,tpcds,3,16.42
query59.sql,tpcds,3,15.44
query6.sql,tpcds,3,19.57
query60.sql,tpcds,3,17.56
query61.sql,tpcds,3,10.73
query62.sql,tpcds,3,14.28
query63.sql,tpcds,3,14.14
query64.sql,tpcds,3,38.56
query65.sql,tpcds,3,18.46
query66.sql,tpcds,3,15.64
query67.sql,tpcds,3,fail
query68.sql,tpcds,3,15.03
query69.sql,tpcds,3,11.62
query7.sql,tpcds,3,14.38
query70.sql,tpcds,3,15.50
query71.sql,tpcds,3,14.77
query72.sql,tpcds,3,36.33
query73.sql,tpcds,3,14.32
query74.sql,tpcds,3,27.11
query75.sql,tpcds,3,24.26
query76.sql,tpcds,3,15.22
query77.sql,tpcds,3,16.45
query78.sql,tpcds,3,36.47
query79.sql,tpcds,3,14.64
query8.sql,tpcds,3,15.05
query80.sql,tpcds,3,34.72
query81.sql,tpcds,3,15.13
query82.sql,tpcds,3,16.32
query83.sql,tpcds,3,15.18
query84.sql,tpcds,3,14.52
query85.sql,tpcds,3,18.12
query86.sql,tpcds,3,14.09
query87.sql,tpcds,3,20.49
query88.sql,tpcds,3,17.78
query89.sql,tpcds,3,14.78
query9.sql,tpcds,3,15.30
query90.sql,tpcds,3,12.39
query91.sql,tpcds,3,12.19
query92.sql,tpcds,3,14.60
query93.sql,tpcds,3,27.00
query94.sql,tpcds,3,19.39
query95.sql,tpcds,3,25.60
query96.sql,tpcds,3,12.13
query97.sql,tpcds,3,21.48
query98.sql,tpcds,3,14.82
query99.sql,tpcds,3,13.53
1.sql,tpch,4,31.55
10.sql,tpch,4,20.76
11.sql,tpch,4,12.40
12.sql,tpch,4,18.71
13.sql,tpch,4,18.25
14.sql,tpch,4,14.40
15.sql,tpch,4,17.11
16.sql,tpch,4,18.53
17.sql,tpch,4,34.14
18.sql,tpch,4,34.67
19.sql,tpch,4,15.28
2.sql,tpch,4,15.84
20.sql,tpch,4,16.78
21.sql,tpch,4,33.01
22.sql,tpch,4,16.40
3.sql,tpch,4,20.96
4.sql,tpch,4,18.53
5.sql,tpch,4,31.61
6.sql,tpch,4,11.65
7.sql,tpch,4,29.61
8.sql,tpch,4,25.25
9.sql,tpch,4,31.81
query1.sql,tpcds,4,15.28
query10.sql,tpcds,4,16.12
query11.sql,tpcds,4,27.68
query12.sql,tpcds,4,14.13
query13.sql,tpcds,4,13.94
query14.sql,tpcds,4,fail
query15.sql,tpcds,4,14.42
query16.sql,tpcds,4,16.40
query17.sql,tpcds,4,29.59
query18.sql,tpcds,4,15.83
query19.sql,tpcds,4,14.29
query2.sql,tpcds,4,14.66
query20.sql,tpcds,4,13.95
query21.sql,tpcds,4,13.01
query22.sql,tpcds,4,14.68
query23.sql,tpcds,4,fail
query24.sql,tpcds,4,fail
query25.sql,tpcds,4,29.50
query26.sql,tpcds,4,14.46
query27.sql,tpcds,4,15.02
query28.sql,tpcds,4,19.99
query29.sql,tpcds,4,29.71
query3.sql,tpcds,4,12.87
query30.sql,tpcds,4,fail
query31.sql,tpcds,4,18.84
query32.sql,tpcds,4,13.61
query33.sql,tpcds,4,15.92
query34.sql,tpcds,4,13.89
query35.sql,tpcds,4,17.51
query36.sql,tpcds,4,14.18
query37.sql,tpcds,4,15.09
query38.sql,tpcds,4,20.80
query39.sql,tpcds,4,fail
query4.sql,tpcds,4,37.69
query40.sql,tpcds,4,18.97
query41.sql,tpcds,4,10.52
query42.sql,tpcds,4,13.14
query43.sql,tpcds,4,12.93
query44.sql,tpcds,4,15.49
query45.sql,tpcds,4,14.05
query46.sql,tpcds,4,14.90
query47.sql,tpcds,4,18.77
query48.sql,tpcds,4,14.67
query49.sql,tpcds,4,21.06
query5.sql,tpcds,4,19.96
query50.sql,tpcds,4,21.07
query51.sql,tpcds,4,23.30
query52.sql,tpcds,4,13.06
query53.sql,tpcds,4,14.30
query54.sql,tpcds,4,18.44
query55.sql,tpcds,4,14.50
query56.sql,tpcds,4,16.09
query57.sql,tpcds,4,15.65
query58.sql,tpcds,4,16.16
query59.sql,tpcds,4,16.22
query6.sql,tpcds,4,19.26
query60.sql,tpcds,4,16.98
query61.sql,tpcds,4,10.85
query62.sql,tpcds,4,14.18
query63.sql,tpcds,4,14.25
query64.sql,tpcds,4,38.60
query65.sql,tpcds,4,18.58
query66.sql,tpcds,4,16.30
query67.sql,tpcds,4,fail
query68.sql,tpcds,4,14.33
query69.sql,tpcds,4,12.17
query7.sql,tpcds,4,16.20
query70.sql,tpcds,4,15.73
query71.sql,tpcds,4,15.25
query72.sql,tpcds,4,35.73
query73.sql,tpcds,4,14.10
query74.sql,tpcds,4,27.38
query75.sql,tpcds,4,26.60
query76.sql,tpcds,4,15.21
query77.sql,tpcds,4,17.75
query78.sql,tpcds,4,36.43
query79.sql,tpcds,4,14.10
