query,dataset,register_mean,bare_mean,rowgroup_mean,full_mean,vanilla_mean,nowrite_mean
1.sql,tpch,28006.333333333332,27855.444444444445,27206.88888888889,27265.88888888889,27197.88888888889,27396.11111111111
36.sql,tpch,3065.5555555555557,2592.0,3469.777777777778,3085.222222222222,2628.6666666666665,2231.5555555555557
query131.sql,tpcds,1872.7777777777778,1860.4444444444443,1838.888888888889,1969.6666666666667,1877.2222222222222,1866.75
query121.sql,tpcds,2192.222222222222,2171.5555555555557,2457.1111111111113,2171.5555555555557,2194.4444444444443,2143.125
query116.sql,tpcds,2042.0,2179.8888888888887,2236.777777777778,2456.6666666666665,3523.5555555555557,2359.5
query104.sql,tpcds,866.3333333333334,815.3333333333334,1239.888888888889,904.0,1090.111111111111,1016.875
query65.sql,tpcds,5586.555555555556,5800.777777777777,6389.444444444444,5482.555555555556,5183.222222222223,5045.625
query130.sql,tpcds,1722.2222222222222,1712.5555555555557,2003.111111111111,1751.111111111111,1736.5555555555557,1669.125
query54.sql,tpcds,5820.888888888889,5937.0,6016.555555555556,5637.0,6039.333333333333,5833.375
query72.sql,tpcds,29920.777777777777,26352.222222222223,26279.777777777777,26204.555555555555,25932.444444444445,26809.25
query100.sql,tpcds,964.8888888888889,874.4444444444445,1121.888888888889,1176.5555555555557,1001.0,878.25
query7.sql,tpcds,3716.222222222222,3347.1111111111113,3704.4444444444443,4052.1111111111113,3747.222222222222,3659.0
query87.sql,tpcds,10095.222222222223,10019.333333333334,10493.666666666666,9941.0,10299.222222222223,9964.5
query98.sql,tpcds,1729.6666666666667,1825.5555555555557,1788.7777777777778,1829.7777777777778,1764.5555555555557,1720.857142857143
query63.sql,tpcds,2161.0,1919.5555555555557,2244.6666666666665,1788.6666666666667,2261.777777777778,1686.7142857142858
query96.sql,tpcds,877.7777777777778,1044.2222222222222,1120.7777777777778,1082.888888888889,894.0,1021.2857142857143
query60.sql,tpcds,4040.8888888888887,4001.6666666666665,4524.888888888889,4164.666666666667,4029.1111111111113,4385.428571428572
query62.sql,tpcds,1710.888888888889,1911.5555555555557,1680.111111111111,2402.1111111111113,1970.4444444444443,1728.2857142857142
query44.sql,tpcds,2872.5555555555557,3038.5555555555557,3283.4444444444443,3562.222222222222,5149.666666666667,2768.1428571428573
query74.sql,tpcds,25887.11111111111,24681.11111111111,26163.666666666668,23925.11111111111,25676.222222222223,25916.428571428572
query46.sql,tpcds,2953.0,3179.8888888888887,3158.8888888888887,3037.1111111111113,2804.6666666666665,2841.1428571428573
query119.sql,tpcds,2539.5555555555557,2779.4444444444443,2696.5555555555557,2495.3333333333335,2744.3333333333335,2618.285714285714
query124.sql,tpcds,1533.111111111111,1598.2222222222222,1681.888888888889,1539.0,1505.7777777777778,1602.5714285714287
25.sql,tpch,24376.222222222223,23684.777777777777,24114.88888888889,24158.666666666668,24341.0,24094.222222222223
15.sql,tpch,6477.111111111111,6149.666666666667,5954.666666666667,6040.0,5930.111111111111,5653.777777777777
3.sql,tpch,8625.444444444445,9600.111111111111,9045.777777777777,8506.777777777777,9534.333333333334,9514.444444444445
24.sql,tpch,14717.0,14557.777777777777,14449.111111111111,14534.888888888889,14268.888888888889,14266.333333333334
query85.sql,tpcds,4392.777777777777,4447.333333333333,4424.666666666667,4744.777777777777,5626.777777777777,4425.625
query17.sql,tpcds,23242.444444444445,24254.333333333332,22211.11111111111,23690.666666666668,24770.444444444445,21533.25
query31.sql,tpcds,8717.777777777777,8589.555555555555,8887.0,8485.0,8212.222222222223,8906.0
