query,dataset,run_number,listener_time_sec
query53.sql,tpcds,3,14.58
query54.sql,tpcds,3,19.82
query55.sql,tpcds,3,14.26
query56.sql,tpcds,3,17.37
query57.sql,tpcds,3,24.00
query58.sql,tpcds,3,16.56
query59.sql,tpcds,3,18.42
query6.sql,tpcds,3,19.30
query60.sql,tpcds,3,17.91
query61.sql,tpcds,3,14.22
query62.sql,tpcds,3,14.30
query63.sql,tpcds,3,14.77
query64.sql,tpcds,3,50.76
query65.sql,tpcds,3,19.29
query66.sql,tpcds,3,16.94
query67.sql,tpcds,3,8.59
query68.sql,tpcds,3,15.79
query69.sql,tpcds,3,16.17
query7.sql,tpcds,3,15.96
query70.sql,tpcds,3,16.27
query71.sql,tpcds,3,15.93
query72.sql,tpcds,3,35.32
query73.sql,tpcds,3,14.35
query74.sql,tpcds,3,42.74
query75.sql,tpcds,3,41.17
query76.sql,tpcds,3,15.87
query77.sql,tpcds,3,35.68
query78.sql,tpcds,3,39.11
query79.sql,tpcds,3,15.60
query8.sql,tpcds,3,15.21
query80.sql,tpcds,3,34.47
query81.sql,tpcds,3,16.71
query82.sql,tpcds,3,15.81
query83.sql,tpcds,3,15.38
query84.sql,tpcds,3,15.59
query85.sql,tpcds,3,17.93
query86.sql,tpcds,3,14.19
query87.sql,tpcds,3,24.78
query88.sql,tpcds,3,18.13
query89.sql,tpcds,3,15.40
query9.sql,tpcds,3,18.61
query90.sql,tpcds,3,12.81
query91.sql,tpcds,3,13.28
query92.sql,tpcds,3,14.56
query93.sql,tpcds,3,23.67
query94.sql,tpcds,3,19.89
query95.sql,tpcds,3,25.59
query96.sql,tpcds,3,12.44
query97.sql,tpcds,3,19.55
query98.sql,tpcds,3,15.36
query99.sql,tpcds,3,14.38
1.sql,tpch,4,31.68
10.sql,tpch,4,22.53
11.sql,tpch,4,13.66
12.sql,tpch,4,18.46
13.sql,tpch,4,18.37
14.sql,tpch,4,15.04
15.sql,tpch,4,18.44
16.sql,tpch,4,20.29
17.sql,tpch,4,36.74
18.sql,tpch,4,33.98
19.sql,tpch,4,15.29
2.sql,tpch,4,19.98
20.sql,tpch,4,24.50
21.sql,tpch,4,31.89
22.sql,tpch,4,14.77
3.sql,tpch,4,21.73
4.sql,tpch,4,17.10
5.sql,tpch,4,25.78
6.sql,tpch,4,11.87
7.sql,tpch,4,23.82
8.sql,tpch,4,28.50
9.sql,tpch,4,34.13
query1.sql,tpcds,4,17.39
query10.sql,tpcds,4,18.73
query11.sql,tpcds,4,41.09
query12.sql,tpcds,4,14.62
query13.sql,tpcds,4,14.98
query14.sql,tpcds,4,8.59
query15.sql,tpcds,4,14.83
query16.sql,tpcds,4,21.62
query17.sql,tpcds,4,28.72
query18.sql,tpcds,4,16.34
query19.sql,tpcds,4,15.32
query2.sql,tpcds,4,16.44
query20.sql,tpcds,4,14.45
query21.sql,tpcds,4,14.33
query22.sql,tpcds,4,14.89
query23.sql,tpcds,4,8.56
query24.sql,tpcds,4,8.66
query25.sql,tpcds,4,25.96
query26.sql,tpcds,4,15.03
query27.sql,tpcds,4,15.38
query28.sql,tpcds,4,23.13
query29.sql,tpcds,4,28.09
query3.sql,tpcds,4,13.68
query30.sql,tpcds,4,8.42
query31.sql,tpcds,4,22.21
query32.sql,tpcds,4,14.45
query33.sql,tpcds,4,16.98
query34.sql,tpcds,4,15.40
query35.sql,tpcds,4,22.36
query36.sql,tpcds,4,15.14
query37.sql,tpcds,4,15.05
query38.sql,tpcds,4,25.73
query39.sql,tpcds,4,8.08
query4.sql,tpcds,4,62.01
query40.sql,tpcds,4,18.94
query41.sql,tpcds,4,12.39
query42.sql,tpcds,4,13.39
query43.sql,tpcds,4,14.18
query44.sql,tpcds,4,17.53
query45.sql,tpcds,4,13.95
query46.sql,tpcds,4,15.55
query47.sql,tpcds,4,32.48
query48.sql,tpcds,4,14.68
query49.sql,tpcds,4,21.73
query5.sql,tpcds,4,20.68
query50.sql,tpcds,4,20.61
query51.sql,tpcds,4,30.87
query52.sql,tpcds,4,13.34
query53.sql,tpcds,4,14.85
query54.sql,tpcds,4,19.46
query55.sql,tpcds,4,13.75
query56.sql,tpcds,4,16.90
query57.sql,tpcds,4,25.65
query58.sql,tpcds,4,16.61
query59.sql,tpcds,4,17.54
query6.sql,tpcds,4,19.01
