query,dataset,run_number,listener_nowrite_time
query73.sql,tpcds,3,14.97
query74.sql,tpcds,3,41.63
query75.sql,tpcds,3,41.56
query76.sql,tpcds,3,15.04
query77.sql,tpcds,3,34.41
query78.sql,tpcds,3,37.74
query79.sql,tpcds,3,15.00
query8.sql,tpcds,3,14.65
query80.sql,tpcds,3,34.17
query81.sql,tpcds,3,16.85
query82.sql,tpcds,3,15.23
query83.sql,tpcds,3,16.25
query84.sql,tpcds,3,14.42
query85.sql,tpcds,3,18.37
query86.sql,tpcds,3,13.97
query87.sql,tpcds,3,25.51
query88.sql,tpcds,3,18.11
query89.sql,tpcds,3,15.24
query9.sql,tpcds,3,18.00
query90.sql,tpcds,3,13.12
query91.sql,tpcds,3,13.04
query92.sql,tpcds,3,15.11
query93.sql,tpcds,3,23.28
query94.sql,tpcds,3,18.54
query95.sql,tpcds,3,26.54
query96.sql,tpcds,3,11.76
query97.sql,tpcds,3,18.63
query98.sql,tpcds,3,15.21
query99.sql,tpcds,3,14.12
1.sql,tpch,4,31.96
10.sql,tpch,4,24.12
11.sql,tpch,4,12.11
12.sql,tpch,4,18.30
13.sql,tpch,4,17.95
14.sql,tpch,4,14.73
15.sql,tpch,4,18.18
16.sql,tpch,4,20.25
17.sql,tpch,4,34.29
18.sql,tpch,4,34.18
19.sql,tpch,4,14.90
2.sql,tpch,4,20.48
20.sql,tpch,4,24.42
21.sql,tpch,4,32.11
22.sql,tpch,4,14.57
3.sql,tpch,4,21.37
4.sql,tpch,4,18.16
5.sql,tpch,4,26.15
6.sql,tpch,4,11.56
7.sql,tpch,4,24.39
8.sql,tpch,4,29.63
9.sql,tpch,4,33.30
query1.sql,tpcds,4,16.68
query10.sql,tpcds,4,18.18
query11.sql,tpcds,4,41.61
query12.sql,tpcds,4,14.50
query13.sql,tpcds,4,13.93
query14.sql,tpcds,4,8.78
query15.sql,tpcds,4,15.51
query16.sql,tpcds,4,21.53
query17.sql,tpcds,4,27.74
query18.sql,tpcds,4,16.39
query19.sql,tpcds,4,14.46
query2.sql,tpcds,4,16.33
query20.sql,tpcds,4,14.68
query21.sql,tpcds,4,14.21
query22.sql,tpcds,4,14.78
query23.sql,tpcds,4,8.49
query24.sql,tpcds,4,8.35
query25.sql,tpcds,4,28.04
query26.sql,tpcds,4,14.37
query27.sql,tpcds,4,14.57
query28.sql,tpcds,4,23.07
query29.sql,tpcds,4,27.14
query3.sql,tpcds,4,13.08
query30.sql,tpcds,4,8.96
query31.sql,tpcds,4,21.76
query32.sql,tpcds,4,14.29
query33.sql,tpcds,4,16.87
query34.sql,tpcds,4,15.15
query35.sql,tpcds,4,21.11
query36.sql,tpcds,4,15.18
query37.sql,tpcds,4,14.99
query38.sql,tpcds,4,24.21
query39.sql,tpcds,4,8.50
query4.sql,tpcds,4,59.94
query40.sql,tpcds,4,18.24
query41.sql,tpcds,4,11.15
query42.sql,tpcds,4,12.75
query43.sql,tpcds,4,13.18
query44.sql,tpcds,4,16.13
query45.sql,tpcds,4,13.45
query46.sql,tpcds,4,15.67
query47.sql,tpcds,4,32.79
query48.sql,tpcds,4,14.22
query49.sql,tpcds,4,21.32
query5.sql,tpcds,4,20.21
query50.sql,tpcds,4,20.10
query51.sql,tpcds,4,29.03
query52.sql,tpcds,4,13.32
query53.sql,tpcds,4,14.70
query54.sql,tpcds,4,19.79
query55.sql,tpcds,4,13.22
query56.sql,tpcds,4,16.18
query57.sql,tpcds,4,23.12
query58.sql,tpcds,4,17.18
query59.sql,tpcds,4,17.62
query6.sql,tpcds,4,19.19
query60.sql,tpcds,4,17.22
query61.sql,tpcds,4,13.83
query62.sql,tpcds,4,13.82
query63.sql,tpcds,4,14.55
query64.sql,tpcds,4,50.97
query65.sql,tpcds,4,18.81
query66.sql,tpcds,4,16.74
query67.sql,tpcds,4,7.97
query68.sql,tpcds,4,15.12
query69.sql,tpcds,4,16.05
query7.sql,tpcds,4,15.77
query70.sql,tpcds,4,15.30
query71.sql,tpcds,4,14.78
query72.sql,tpcds,4,34.58
query73.sql,tpcds,4,14.46
query74.sql,tpcds,4,41.58
query75.sql,tpcds,4,42.13
query76.sql,tpcds,4,14.89
query77.sql,tpcds,4,35.24
query78.sql,tpcds,4,37.63
query79.sql,tpcds,4,14.94
query8.sql,tpcds,4,14.52
query80.sql,tpcds,4,33.78
query81.sql,tpcds,4,16.22
query82.sql,tpcds,4,15.37
query83.sql,tpcds,4,15.39
query84.sql,tpcds,4,14.75
query85.sql,tpcds,4,17.77
query86.sql,tpcds,4,14.95
query87.sql,tpcds,4,26.81
query88.sql,tpcds,4,18.33
query89.sql,tpcds,4,14.93
query9.sql,tpcds,4,18.19
query90.sql,tpcds,4,13.00
query91.sql,tpcds,4,13.98
query92.sql,tpcds,4,14.05
query93.sql,tpcds,4,23.35
query94.sql,tpcds,4,18.05
query95.sql,tpcds,4,26.10
query96.sql,tpcds,4,11.67
query97.sql,tpcds,4,18.01
query98.sql,tpcds,4,15.08
query99.sql,tpcds,4,14.05
1.sql,tpch,5,32.27
10.sql,tpch,5,22.64
11.sql,tpch,5,12.59
12.sql,tpch,5,18.40
13.sql,tpch,5,17.38
14.sql,tpch,5,14.55
15.sql,tpch,5,16.30
16.sql,tpch,5,20.54
