query,dataset,run_number,listener_register_time
4.sql,tpch,3,18.14
5.sql,tpch,3,25.45
6.sql,tpch,3,12.04
7.sql,tpch,3,25.59
8.sql,tpch,3,29.82
9.sql,tpch,3,34.44
query1.sql,tpcds,3,16.86
query10.sql,tpcds,3,19.43
query11.sql,tpcds,3,43.56
query12.sql,tpcds,3,14.69
query13.sql,tpcds,3,14.83
query14.sql,tpcds,3,8.64
query15.sql,tpcds,3,14.77
query16.sql,tpcds,3,20.45
query17.sql,tpcds,3,27.40
query18.sql,tpcds,3,15.44
query19.sql,tpcds,3,14.12
query2.sql,tpcds,3,15.71
query20.sql,tpcds,3,14.92
query21.sql,tpcds,3,13.09
query22.sql,tpcds,3,14.40
query23.sql,tpcds,3,8.46
query24.sql,tpcds,3,8.12
query25.sql,tpcds,3,27.20
query26.sql,tpcds,3,14.09
query27.sql,tpcds,3,15.18
query28.sql,tpcds,3,21.12
query29.sql,tpcds,3,26.78
query3.sql,tpcds,3,13.22
query30.sql,tpcds,3,8.58
query31.sql,tpcds,3,22.54
query32.sql,tpcds,3,14.14
query33.sql,tpcds,3,17.31
query34.sql,tpcds,3,15.05
query35.sql,tpcds,3,21.28
query36.sql,tpcds,3,14.94
query37.sql,tpcds,3,14.31
query38.sql,tpcds,3,25.05
query39.sql,tpcds,3,8.49
query4.sql,tpcds,3,60.23
query40.sql,tpcds,3,19.09
query41.sql,tpcds,3,11.46
query42.sql,tpcds,3,12.47
query43.sql,tpcds,3,13.16
query44.sql,tpcds,3,17.05
query45.sql,tpcds,3,14.17
query46.sql,tpcds,3,15.30
query47.sql,tpcds,3,32.19
query48.sql,tpcds,3,14.63
query49.sql,tpcds,3,20.84
query5.sql,tpcds,3,20.30
query50.sql,tpcds,3,20.33
query51.sql,tpcds,3,29.88
query52.sql,tpcds,3,13.51
query53.sql,tpcds,3,14.86
query54.sql,tpcds,3,20.01
query55.sql,tpcds,3,13.88
query56.sql,tpcds,3,16.65
query57.sql,tpcds,3,23.62
query58.sql,tpcds,3,16.96
query59.sql,tpcds,3,18.07
query6.sql,tpcds,3,19.57
query60.sql,tpcds,3,17.32
query61.sql,tpcds,3,13.76
query62.sql,tpcds,3,14.63
query63.sql,tpcds,3,14.33
query64.sql,tpcds,3,51.79
query65.sql,tpcds,3,19.46
query66.sql,tpcds,3,17.92
query67.sql,tpcds,3,7.91
query68.sql,tpcds,3,15.80
query69.sql,tpcds,3,16.26
query7.sql,tpcds,3,16.29
