,query,dataset,runtime
282,33.sql,tpch,401704.0
283,34.sql,tpch,428268.0
284,33.sql,tpch,454092.0
285,6.sql,tpch,1077893.0
286,2.sql,tpch,862670.0
287,1.sql,tpch,1271315.0
288,5.sql,tpch,10103550.0
289,3.sql,tpch,3377998.0
290,7.sql,tpch,4387947.0
291,4.sql,tpch,1755886.0
292,12.sql,tpch,1380023.0
293,11.sql,tpch,499133.0
294,9.sql,tpch,16901204.0
295,14.sql,tpch,1580677.0
296,13.sql,tpch,1214489.0
297,10.sql,tpch,3065791.0
298,8.sql,tpch,13371271.0
299,23.sql,tpch,395713.0
300,25.sql,tpch,430988.0
301,27.sql,tpch,3463412.0
302,29.sql,tpch,3561179.0
303,28.sql,tpch,3516943.0
304,24.sql,tpch,358575.0
305,26.sql,tpch,348850.0
306,30.sql,tpch,3509284.0
307,37.sql,tpch,1408195.0
308,32.sql,tpch,418251.0
309,33.sql,tpch,427096.0
310,34.sql,tpch,442374.0
311,31.sql,tpch,429256.0
312,36.sql,tpch,1412469.0
313,35.sql,tpch,1398704.0
314,29.sql,tpch,3286250
315,13.sql,tpch,1176642
316,5.sql,tpch,10100384
317,31.sql,tpch,411087
318,17.sql,tpch,12447581
319,1.sql,tpch,1231308
320,14.sql,tpch,1549247
321,36.sql,tpch,1408933
322,21.sql,tpch,14603896
323,28.sql,tpch,3225327
324,35.sql,tpch,1425392
325,4.sql,tpch,1850993
326,7.sql,tpch,4531905
327,24.sql,tpch,425269
328,8.sql,tpch,12381773
329,10.sql,tpch,2861514
330,3.sql,tpch,3564069
331,26.sql,tpch,361490
332,17.sql,tpch,11269030
333,1.sql,tpch,1277056
334,14.sql,tpch,1617209
335,36.sql,tpch,1423827
336,29.sql,tpch,3194109
337,7.sql,tpch,4485292
338,26.sql,tpch,358753
339,3.sql,tpch,3583762
340,24.sql,tpch,400291
341,8.sql,tpch,11699147
342,13.sql,tpch,1183048
343,5.sql,tpch,9160040
344,28.sql,tpch,2997295
345,35.sql,tpch,1420958
346,16.sql,tpch,180796
347,19.sql,tpch,1924357
348,18.sql,tpch,11503066
349,21.sql,tpch,17388174
350,10.sql,tpch,3417986
351,7.sql,tpch,4618453
352,24.sql,tpch,378257
353,1.sql,tpch,1279046
354,20.sql,tpch,2449424
355,28.sql,tpch,3653796
356,35.sql,tpch,1430396
357,26.sql,tpch,398813
358,29.sql,tpch,3484223
359,14.sql,tpch,1635583
360,13.sql,tpch,1262573
361,31.sql,tpch,373832
362,36.sql,tpch,1420677
363,3.sql,tpch,4163280
364,16.sql,tpch,241817
365,4.sql,tpch,1642415
366,8.sql,tpch,12669363
367,19.sql,tpch,1934762
368,17.sql,tpch,11682957
369,15.sql,tpch,3097043
370,5.sql,tpch,10225615
371,22.sql,tpch,302210
